1	Google assimilates YouTube !	Google	assimilates	YouTube
454	* Atlanta pharmacist John Pemberton invented Coca - Cola - in 1886 .	John Pemberton	invented	Coca - Cola
455	. . . John Pemberton  concocted the Coca Cola formula  in a three legged brass kettle in . . .	John Pemberton	concocted	Coca Cola
456	Nelson  sees the World Wide Web as a massively nerfed version of his original dream  .	Nelson	sees	the World Wide Web
457	Albert Einstein ( 1879 - 1955 )  was the Nobel Prize winner  in 1921 for physics .	Albert Einstein	winner	Nobel Prize
458	John Pemberton  was the inventor of  Coca Cola	John Pemberton	inventor	Coca Cola
459	“It was Harry Truman who  created the  Presidential Medal of Freedom when he signed Executive Order 58011 , ” The President said .	Harry Truman	created	Presidential Medal of Freedom
460	Pfizer , the world's biggest drug maker , sued Teva Pharmaceutical Industries to block a generic version of the painkiller Celebrex , the world's top - selling arthritis drug .	Pfizer	sued	Teva Pharmaceutical Industries
461	1886 John Pemberton begins selling medicinal syrup as a fountain drink , creating Coca - Cola - .	John Pemberton	creating	Coca - Cola
462	Last fall , Dr. Raymond V. Damadian  was denied a  Nobel Prize for his role in the development of magnetic resonance imaging .	Damadian	denied	Nobel Prize
463	Prize Fight : Raymond Damadian  refuses to take his failure to win a  Nobel Prize , for a prototype MRI	Raymond Damadian	---	Nobel Prize
464	Dean Kamen  is best known as the inventor of  the Segway Scooter .	Dean Kamen	inventor	the Segway
465	Nelson hates the World Wide Web , the Internet , XML and all embedded markup , and regards Berners - Lee's work as a gross over - simplification of his own work .	Nelson	hates	the World Wide Web
466	Mozart   died in  Vienna at age 35 of uremia , a kidney disorder that was caused by his excessive consumption of alcohol .	Mozart	died	Vienna
467	 Established by President Truman as a wartime honor , the  Presidential Medal of Freedom was reintroduced by President Kennedy as a way to honor civilian service .	President Truman	Established	Presidential Medal of Freedom
468	Mozart who  became a free musician in  Vienna often held concerts by subscription as one of his means to make his living.These	Mozart	musician	Vienna
469	Einstein  was awarded the Nobel Prize  for physics  in 1921 .	Einstein	awarded	Nobel Prize
470	Albert Einstein , in a condolence letter to the family of the chemist who , like  Einstein won a Nobel Prize  but unlike him believed that the future of science was in its application .	Einstein	won	Nobel Prize
471	Pfizer sues Ranbaxy , Teva for product infringement	Pfizer	sues	Teva
472	Kamen unveiled the Segway .	Kamen	unveiled	the Segway
473	Steinbeck  received the  Pulitzer Prize in 1940 and the Nobel Prize for Literature in 1962 .	Steinbeck	received	Pulitzer Prize
474	Yahoo  Rejects Microsoft Search Offer 	Yahoo	 Rejects	Microsoft
475	 Just a year later  , in 1762 , Mozart  performed in  Vienna for the Archduchess Maria Theresia .	Mozart	performed	Vienna
476	Einstein  received a variety of honours in his lifetime from  the 1921 Nobel Prize in physics to an offer ( which he did not accept ) of the presidency of Israel after Chaim Weizmanns death in 1952 .	Einstein	received	Nobel Prize
477	  How many times did Albert Einstein win a Nobel Prize for physics  ?	Albert Einstein	win	Nobel Prize
478	Albert Einstein   received his Nobel Prize for the Quantum theory  ( rather than the theory of relativity ) .	Albert Einstein	received	Nobel Prize
479	( Washington : Ucs News ) In a Rose Garden ceremony , President George W. Bush  awarded Arizona senator john McCain the order of the  Purple Heart .	john McCain	awarded	Purple Heart
480	The discovery revolutionized biology , and won Crick and Watson the Nobel Prize in 1962 along with their colleague Maurice Wilkins .	Crick	won	Nobel Prize
481	James Watson and Francis Crick uncovered the mystery of DNA and  won the  Nobel prize for a little two - page paper  two pages .	Francis Crick	won	Nobel prize
482	If you throw in spawning cosmology and modern string theory it's no wonder Albert Einstein  won the Nobel Prize in Physics  in 1921 .	Albert Einstein	won	Nobel Prize
483	If you throw in spawning cosmology and modern string theory it's no wonder Albert Einstein  won the Nobel Prize in Physics  in 1921 .	Albert Einstein	won	Nobel Prize
484	Joseph Pulitzer  Is Renowned For Creating the  Pulitzer Prize , First . . .	Joseph Pulitzer	Creating	Pulitzer Prize
485	So each is inevitably disappointed .  - Albert Einstein ( 1879 - 1955 ) German born American Physicist &amp;amp; Nobel Prize Winner	Albert Einstein	Winner	Nobel Prize
486	. . . Back in America , fund raising for the pedestal was going particularly slowly , so Joseph Pulitzer  noted for the  Pulitzer Prize opened up the editorial pages . . .	Joseph Pulitzer	noted	Pulitzer Prize
487	[ * Crick   received a Nobel Prize for discovering the structure of DNA  . ]	Crick	received	Nobel Prize
488	Albert Einstein explained the photoelectric effect and  received his only  Nobel Prize .	Albert Einstein	received	Nobel Prize
489	Why did Watson and Crick  win the  Nobel Prize ?	Crick	win	Nobel Prize
490	Why did Watson and Crick  win the  Nobel Prize ?	Crick	win	Nobel Prize
491	For examples , the discovery of the structure of the DNA double helix was attributed to Professor Francis Crick (  co - winner of the Nobel Prize in Medicine  , 1962 ) who was a physicist by training .	Francis Crick	winner	Nobel Prize
492	Watson , along with Dr. Francis Crick and Dr. Maurice Wilkins ,  won the  1962 Nobel Prize in Physiology or Medicine for solving the molecular structure of DNA .	Francis Crick	won	Nobel Prize
493	They published their findings in the journal Nature in April of 1953 ; the discovery was considered tremendously significant , and in 1962 Watson and Crick and their collaborator Maurice Wilkins  were awarded the Nobel Prize in Medicine  .	Crick	awarded	Nobel Prize
494	Steinbeck  receives a Pulitzer Prize  and Ford receives an Oscar .	Steinbeck	receives	Pulitzer Prize
495	UC San Diego professor Francis Crick  received Nobel Prize in Medicine  .	Francis Crick	received	Nobel Prize
496	John Steinbeck  also earned alot of awards , one being the   Pulitzer Prize in 1940 .	John Steinbeck	earned	Pulitzer Prize
497	James Watson and Francis Crick describe double helix structure of DNA ( receive Nobel Prize in 1962 ) .	Francis Crick	receive	Nobel Prize
498	More than Fifty years ago , James Watson and Francis Crick discovered the structure of DNA for which they  received the  Nobel Prize .	Francis Crick	received	Nobel Prize
499	A good deal of the credit for these discoveries has gone to Francis Crick who , together with James Watson ,  won the Nobel Prize for having determined the nature of DNA  .	Francis Crick	won	Nobel Prize
500	Although she was instrumental in the discovery of the structure of DNA , Crick and Watson are credited with the discovery and   received a  Nobel Prize  for the achievement .	Crick	received	Nobel Prize
